a cappella, Redewendung, nhd.; L.: WDG1
Abbröckelung, F., nhd.; L.: WDG1
Abbröcklung, F., nhd.; L.: WDG1
Abbruch, M., nhd.; L.: WDG1
Abbrucharbeit, F., nhd.; L.: WDG1
Abbrucharbeiten, F., nhd.; L.: WDG1
abbrüchig, Adj., nhd.; L.: WDG1
Abbruchmaterial, N., nhd.; L.: WDG1
abbruchreif, Adj., nhd.; L.: WDG1
Abbruchsieger, M., nhd.; L.: WDG1
Abbruchstelle, F., nhd.; L.: WDG1
abbrühen, V., nhd.; L.: WDG1
abbrummen, V., nhd.; L.: WDG1
abbuchen, V., nhd.; L.: WDG1
Abbuchung, F., nhd.; L.: WDG1
abbügeln, V., nhd.; L.: WDG1
Abbügler, M., nhd.; L.: WDG1
abbummeln, V., nhd.; L.: WDG1
Abbund, M., nhd.; L.: WDG1
abbürsten, V., nhd.; L.: WDG1
abbüßen, V., nhd.; L.: WDG1
Abbüßung, F., nhd.; L.: WDG1
Abc, N., nhd.; L.: WDG1
Abc-Buch, N., nhd.; L.: WDG1
Abc-Code, M., nhd.; L.: WDG1
abclich, Adj., nhd.; L.: WDG1
Abc-Schüler, M., nhd.; L.: WDG1
Abc-Schütz(e), M., nhd.; L.: WDG1
abdachen, sich, V., nhd.; L.: WDG1
Abdachung, F., nhd.; L.: WDG1
abdämmen, V., nhd.; L.: WDG1
Abdämmung, F., nhd.; L.: WDG1
Abdampf, M., nhd.; L.: WDG1
Abdampfaustritt, M., nhd.; L.: WDG1
Abdampfaustritt, M., nhd.; L.: WDG1
abdampfen, V., nhd.; L.: WDG1
abdämpfen, V., nhd.; L.: WDG1
Abdampfkessel, M., nhd.; L.: WDG1
Abdampfleitung, F., nhd.; L.: WDG1
Abdampfrohr, M., nhd.; L.: WDG1
Abdampfrückstand, M., nhd.; L.: WDG1
Abdampfung, F., nhd.; L.: WDG1
Abdämpfung, F., nhd.; L.: WDG1
Abdampfverwertung, F., nhd.; L.: WDG1
Abdampfwärme, F., nhd.; L.: WDG1
abdanken, V., nhd.; L.: WDG1
Abdankung, F., nhd.; L.: WDG1
Abdankungsurkunde, F., nhd.; L.: WDG1
abdarben, V., nhd.; L.: WDG1
abdecken, V., nhd.; L.: WDG1
Abdecker, M., nhd.; L.: WDG1
Abdeckerei, F., nhd.; L.: WDG1
Abdeckung, F., nhd.; L.: WDG1
abdichten, V., nhd.; L.: WDG1
Abdichtung, F., nhd.; L.: WDG1
Abdichtungsarbeit, F., nhd.; L.: WDG1
Abdichtungsarbeiten, F., nhd.; L.: WDG1
abdicken, V., nhd.; L.: WDG1
abdienen, V., nhd.; L.: WDG1
abdingbar, Adj., nhd.; L.: WDG1
Abdingbarkeit, F., nhd.; L.: WDG1
abdingen, V., nhd.; L.: WDG1
Abdingung, F., nhd.; L.: WDG1
abdorren, V., nhd.; L.: WDG1
abdrängen, V., nhd.; L.: WDG1
abdrehen, V., nhd.; L.: WDG1
